theater_id,name,name_key,place_type,operator,opening_hours,wheelchair,screen,website,phone,email,addr_full,addr_street,addr_housenumber,addr_postcode,addr_city,addr_country,theatre_tags,theatre_category,district_id,district,neighborhood_id,longitude,latitude,last_updated
thb_1fed95705f16,Filmrauschpalast,filmrauschpalast,cinema,Filmrausch Moabit e.V.,<NA>,no,1.0,https://www.filmrausch.de/,+49303844344,info@filmrausch.de,Lehrter Straße 35 10557 Berlin,Lehrter Straße,35,10557,Berlin,DE,,,11001001,Mitte,0102,13.3596231,52.534378399999994,2025-10-12T23:39:15+02:00
thb_957cf1213125,Friedrichstadt-Palast,friedrichstadt-palast,theatre,<NA>,<NA>,yes,,https://www.palast.berlin/,+493023262326,,Friedrichstraße 107 10117 Berlin,Friedrichstraße,107,10117,Berlin,DE,,,11001001,Mitte,0101,13.3888786,52.5239216,2025-10-12T23:39:15+02:00
thb_e0da8d4b4612,Quatsch Comedy Club,quatsch-comedy-club,theatre,<NA>,<NA>,limited,,https://www.quatsch-comedy-club.de/,+493027879030,,Friedrichstraße 107 10117 Berlin,Friedrichstraße,107,10117,Berlin,DE,stand_up_comedy,stand_up_comedy,11001001,Mitte,0101,13.388621099999998,52.5236239,2025-10-12T23:39:15+02:00
thb_e8aa9e1a4b1c,Kabarett-Theater Distel,kabarett--distel,theatre,Martin Maier-Bode,<NA>,yes,,http://www.distel-berlin.de/,+49302030000,distel@distel-berlin.de,Friedrichstraße 101 10117 Berlin,Friedrichstraße,101,10117,Berlin,DE,,,11001001,Mitte,0101,13.3885051,52.520666899999995,2025-10-12T23:39:15+02:00
thb_ea39794e7406,Admiralspalast,admiralspalast,theatre,<NA>,<NA>,limited,,https://www.admiralspalast.theater/,+493047997499,,Friedrichstraße 101 10117 Berlin,Friedrichstraße,101,10117,Berlin,DE,,,11001001,Mitte,0101,13.388902099999997,52.520771399999994,2025-10-12T23:39:15+02:00
thb_866953d32b36,CineStar,cinestar,cinema,<NA>,Mo-Su 13:30-23:00,yes,,,,,,,,,Berlin,DE,,,11012012,Reinickendorf,1202,13.2860048,52.583919200000004,2025-10-12T23:39:15+02:00
thb_cdb89485c37a,Die Wühlmäuse,die-wühlmäuse,theatre,<NA>,<NA>,yes,,https://www.wuehlmaeuse.de/,+493030673011,,Pommernallee 2-4 14052 Berlin,Pommernallee,2-4,14052,Berlin,DE,,,11004004,Charlottenburg-Wilmersdorf,0405,13.2707514,52.5088651,2025-10-12T23:39:15+02:00
thb_6f16930bbbbe,UCI Am Eastgate,uci-am-eastgate,cinema,<NA>,"""30min vor Vorstellungsbeginn""",yes,,https://www.uci-kinowelt.de/kinoprogramm/berlin-am-eastgate/44,+493093030260,,Märkische Allee 176-178 12681 Berlin,Märkische Allee,176-178,12681,Berlin,DE,,,11010010,Marzahn-Hellersdorf,1001,13.542027499999998,52.54175159999999,2025-10-12T23:39:15+02:00
thb_abfad32a0f03,HAU 2 (Hebbel am Ufer),hau-2-hebbel-am-ufer,theatre,<NA>,<NA>,yes,,https://www.hebbel-am-ufer.de/,+493025900427,info@hebbel-am-ufer.de,Hallesches Ufer 34 10963 Berlin,Hallesches Ufer,34,10963,Berlin,DE,,,11002002,Friedrichshain-Kreuzberg,0202,13.3858716,52.49911409999999,2025-10-12T23:39:15+02:00
thb_5e05fec5b0a5,Sophiensæle,sophiensæle,theatre,Sophiensæle GmbH,<NA>,yes,,https://www.sophiensaele.com/,+49302825266,info@sophiensaele.com,Sophienstraße 18 10178 Berlin,Sophienstraße,18,10178,Berlin,DE,,,11001001,Mitte,0101,13.401602199999997,52.52588250000001,2025-10-12T23:39:15+02:00
thb_6b364cf296b4,Kino Intimes,intimes,cinema,<NA>,"Mo-Fr 13:30-18:00+, Sa,Su 12:00-18:00+",yes,2.0,https://www.kino-zeit.de/kinoprogramm/berlin/kino-intimes-berlin,,,Boxhagener Straße 107 10245 Berlin,Boxhagener Straße,107,10245,Berlin,DE,,,11002002,Friedrichshain-Kreuzberg,0201,13.4581955,52.5129109,2025-10-12T23:39:15+02:00
thb_591e0f9555b5,Kino Babylon,babylon,cinema,<NA>,"Mo-Fr 17:00+; Sa,Su ""eine halbe Stunde vor der ersten Vorstellung""",limited,,http://www.babylonberlin.de/,+49302425969,,Rosa-Luxemburg-Straße 30 10178 Berlin,Rosa-Luxemburg-Straße,30,10178,Berlin,DE,,,11001001,Mitte,0101,13.4114358,52.52589889999999,2025-10-12T23:39:15+02:00
thb_8c499052fefa,Berliner Kriminaltheater,berliner-kriminaltheater,theatre,BKT Bühnen und Betriebs GmbH,<NA>,yes,,http://www.kriminaltheater.de/,+493047997488,info@kriminaltheater.de,Palisadenstraße 48 10243 Berlin,Palisadenstraße,48,10243,Berlin,DE,,,11002002,Friedrichshain-Kreuzberg,0201,13.4399455,52.518203699999994,2025-10-12T23:39:15+02:00
