library_id,name,name_en,alt_name,short_name,amenity,operator_type,type,operator,street,housenumber,postcode,city,country,latitude,longitude,geom_point,phone,contact_phone,email,contact_email,website,contact_website,opening_hours,wheelchair_accessible,toilets_wheelchair,level,access,network,internet_access,room_group_study,room_study_cabin,service_copy,service_scanner,isil_code,toilets
29071031,Bruno-Lösche-Bibliothek,,,,library,,,,Perleberger Straße,33,10559,Berlin,DE,52.5312448,13.3475136,POINT (13.3475136 52.5312448),+49 30901833025,,,,http://www.berlin.de/stadtbibliothek-mitte/bibliotheken/bruno-loesche-bibliothek/,,Mo-Fr 10:00-19:30; Sa 10:00-14:00,yes,no,,,,,,,,,DE-B707,
60848456,Anton-Saefkow-Bibliothek,,,,library,,,,Anton-Saefkow-Platz,14,10369,Berlin,DE,52.5307772,13.4708382,POINT (13.4708382 52.5307772),,+4930902963773,,,http://www.berlin.de/ba-lichtenberg/auf-einen-blick/buergerservice/bildung/artikel.298020.php,,"Sa 09:00-18:00; Mo,Tu 09:00-19:00; We 13:00-19:00; Th,Fr 09:00-18:00",yes,,,,,,,,,,,
203557001,Stadtteilbibliothek Erich Weinert,,,,library,,,,Helene-Weigel-Platz,4,12681,Berlin,DE,52.5281578,13.538715,POINT (13.538715 52.5281578),+49 30 5429251,,,,https://www.berlin.de/bibliotheken-mh/bibliotheken/stadtteilbibliothek-erich-weinert/,,"Mo,Tu,Th 14:00-18:00; We,Fr 09:00-13:00; Su,PH off; 2024 May 10,2024 Jun 12,2024 Oct 04,2024 Nov 08,2024 Dec 23,2024 Dec 27,2024 Dec 30 off",limited,,,,,,,,,,,
256922190,Stadtteilbibliothek Halemweg,,,,library,,,,Halemweg,18,13627,Berlin,DE,52.5375039,13.2871861,POINT (13.2871861 52.5375039),,,,,,,,yes,,,,,wlan,,,,,none,
257708789,Bezirkszentralbibliothek Spandau,,,,library,,,,Carl-Schurz-Straße,13,13597,Berlin,DE,52.5361334,13.2013864,POINT (13.2013864 52.5361334),,+49 30 90279 5537,,bibliothek@ba-spandau.berlin.de,,https://www.berlin.de/stadtbibliothek-spandau/bibliotheken/bezirkszentralbibliothek/,"Mo-Fr 11:00-19:00;
Mo-Fr 10:00-11:00 ""ohne Fachpersonal"";
Sa 10:00-15:00;
Sa 15:00-18:00 ""ohne Fachpersonal"";
So 10:00-18:00 ""ohne Fachpersonal"";",yes,,,,,wlan,,,,,,
263679066,Bezirkszentralbibliothek Mark Twain,,,,library,,,,Marzahner Promenade,52-54,12679,Berlin,DE,52.54722,13.556704,POINT (13.556704 52.54722),,+49 30 54704154,,,https://www.berlin.de/bibliotheken-mh/,https://www.berlin.de/bibliotheken-mh/bibliotheken/bezirkszentralbibliothek-mark-twain/,"Mo,Tu,Th,Fr 10:00-19:30; We 14:00-19:30; Sa 10:00-14:00",yes,,,,,,,,,,DE-B2228,
264776935,Ibero-Amerikanisches Institut,,,,library,,,Stiftung Preußischer Kulturbesitz,Potsdamer Straße,37,10785,,,52.5068092,13.369701,POINT (13.369701 52.5068092),,,,,https://www.iai.spk-berlin.de/,,Mo-Sa 08:00-22:00,limited,no,,,,wlan,,,,,DE-204,
266540876,Bezirkszentralbibliothek Philipp Schaeffer,,,,library,,,,Brunnenstraße,181,10119,Berlin,DE,52.5316059,13.3986959,POINT (13.3986959 52.5316059),+49 30 90182 4444;+49 30 90182 4422;+49 30 90182 4431,,service@stb-mitte.de,,http://www.berlin.de/stadtbibliothek-mitte/bibliotheken/bezirkszentralbibliothek-philipp-schaeffer/,,Mo-Fr 10:00-19:30; Sa 10:00-14:00,yes,yes,,,,wlan,,,,,DE-B456,
266629485,Stadtteilbibliothek Mahlsdorf,,,,library,,,,Alt-Mahlsdorf,24-26,12623,Berlin,DE,52.5055546,13.6127893,POINT (13.6127893 52.5055546),+49 30 5676866,,bibl.service@ba-mh.berlin.de,,https://www.berlin.de/bibliotheken-mh/bibliotheken/stadtteilbibliothek-mahlsdorf/,,"Mo 13:00-17:00, Tu,Th 13:00-19:00, We,Fr 10:00-14:00; PH off; 2024 May 10,2024 Jun 12,2024 Oct 04,2024 Nov 08,2024 Dec 23,2024 Dec 27,2024 Dec 30 off",yes,,,,,wlan,,,,,,
271685475,Philologische Bibliothek,Philological Library,,,library,university,,Freie Universität Berlin,Habelschwerdter Allee,45,14195,Berlin,DE,52.4518573,13.2883334,POINT (13.2883334 52.4518573),,,,,https://www.fu-berlin.de/sites/philbib/index.html,,Mo-Fr 09:00-22:00; Sa-Su 10:00-20:00,yes,yes,,,,yes,,,,,DE-188-920,
271875991,"Campusbibliothek Natur-, Kultur- und Bildungswissenschaften, Mathematik, Informatik und Psychologie",,,,library,university,,Freie Universität Berlin,Fabeckstraße,23/25,14195,Berlin,DE,52.4535775,13.2902597,POINT (13.2902597 52.4535775),,,auskunft@campusbib.fu-berlin.de,,https://www.fu-berlin.de/sites/campusbib/,,Mo-Fr 09:00-22:00; Sa-Su 10:00-20:00; PH off,limited,yes,,,,yes,,,,,DE-188-930,
281375131,Wolfdietrich-Schnurre-Bibliothek,,,,library,,,,Bizetstraße,41,13088,Berlin,DE,52.5477387,13.4528367,POINT (13.4528367 52.5477387),+49 30 90295 3861,,wolfdietrich-schnurre-bibliothek@ba-pankow.berlin.de,,http://www.berlin.de/ba-pankow/stadtbibliothek/wolfdiehttps://www.berlin.de/stadtbibliothek-pankow/bibliotheken/wolfdietrich-schnurre-bibliothek/trich-schnurre/,,Mo 10:00-19:00; Tu 10:00-17:00; We 13:00-19:00; Th 10:00-19:00; Fr 10:00-17:00,limited,,,,,wlan,,,,,,
293137702,Stadtteilbibliothek Karow,,,,library,,,,,,,,,52.616548,13.4917041,POINT (13.4917041 52.616548),,,,,,,,yes,,,,,,,,,,,
308811018,Bettina von Arnim Bibliothek,,,,library,public,,,Schönhauser Allee,75,10439,Berlin,DE,52.5492616,13.414088,POINT (13.414088 52.5492616),+4930902956933,,mailto:bettina-von-arnim.bibliothek@ba-pankow.berlin.de,,https://www.berlin.de/stadtbibliothek-pankow/bibliotheken/bettina-von-arnim-bibliothek/,,"Mo-We,Fr 13:00-19:00; Th 10:00-17:00",yes,yes,3,yes,,wlan,,,,,,yes
323991172,Egon-Erwin-Kisch-Bibliothek,,,,library,,,,Frankfurter Allee,149,,Berlin,,52.5134373,13.4813674,POINT (13.4813674 52.5134373),+49305556719,,,,https://www.berlin.de/stadtbibliothek-lichtenberg/standorte/egon-erwin-kisch-bibliothek/,,"We 13:00-18:00; Sa 09:00-18:00; Su-Tu, Th-Fr 10:00-18:00",limited,,2,,,wlan,,,,,,
333343782,Helene-Nathan-Bibliothek,,"Stadtbibliothek Neukölln, Bezirkszentralbibliothek",,library,,,,Karl-Marx-Straße,66,12043,Berlin,DE,52.4819616,13.4327729,POINT (13.4327729 52.4819616),,+49 30 902394313,,info@stadtbibliothek-neukoelln.de,,https://berlin.de/stadtbibliothek-neukoelln,Mo-Fr 09:00-18:00; Sa 10:00-13:00,yes,,4,,,wlan,,,,,DE-B700,
345162417,Ingeborg-Drewitz-Bibliothek,,,,library,,,,Grunewaldstraße,3,12165,Berlin,DE,52.4577849,13.3196255,POINT (13.3196255 52.4577849),,,,,https://www.berlin.de/stadtbibliothek-steglitz-zehlendorf/,,Mo-Fr 11:00-19:00; Sa 11:00-16:00; PH off,yes,yes,3,,,,,,,,DE-B702,
439229151,Johannes-Bobrowski-Bibliothek,,,,library,,,,Peter-Hille-Straße,1,12587,Berlin,DE,52.4548013,13.6214013,POINT (13.6214013 52.4548013),,,,,http://www.sb-tk.de,,"Mo,Tu 12:00-17:00; We,Th 14:00-19:00; PH,Fr-Su off",yes,,,,,wlan,,,,,,
444731308,Stadtteilbibliothek Lichenrade,,Edith-Stein-Bibliothek,,library,,,,Steinstraße,41,12307,Berlin,,52.3879238,13.3973796,POINT (13.3973796 52.3879238),,+49 30 902778286,,stabi-lichtenrade@ba-ts.berlin.de,,https://www.berlin.de/stadtbibliothek-tempelhof-schoeneberg/bibliotheken/stadtteilbibliothek-lichtenrade/,"Mo, We-Fr 11:00-18:00; Tu 12:00-16:00",yes,designated,"0,1",,,,,,,,,yes
444994924,Heinrich-Schulz-Bibliothek,,,,library,,,,Otto-Suhr-Allee,96,10585,Berlin,DE,52.5171056,13.308865,POINT (13.308865 52.5171056),,+49309029-12217,,,,http://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/bibliotheken/artikel.203398.php,Mo-Fr 12:00-19:00; Sa 11:00-16:00; Su 12:00-18:00,yes,no,,,,wlan,,,,,,
482710823,Zweigbibliothek Naturwissenschaften,,,,library,university,,Universitätsbibliothek der Humboldt-Universität zu Berlin,Rudower Chaussee,26,12489,Berlin,DE,52.4310682,13.5314264,POINT (13.5314264 52.4310682),+49 30 2093-99725,,nawi@ub.hu-berlin.de,,https://www.ub.hu-berlin.de/de/standorte/erwin-schroedinger-zentrum-zwbib-nawi,,Mo-Fr 09:00-20:00,yes,,,,,wlan,yes,yes,yes,yes,DE-11-87,
486517226,Bibliothek Campus Wilhelminenhof,,,,library,,,,,,,,,52.4554005,13.5247238,POINT (13.5247238 52.4554005),,,,,,https://bibliothek.htw-berlin.de/ueber-uns/bibliothek-campus-wilhelminenhof/,Mo-Fr 10:00-21:00; Sa 12:00-18:00,yes,,1,,,,,,,,,
507660382,KEH Bibliothek,,,,library,,,,,,,,,52.5280812,13.5120545,POINT (13.5120545 52.5280812),,,,,,,,limited,,,,,,,,,,,
529557633,Eberhard-Alexander-Burgh-Bibliothek,,,,library,,,,,,,,,52.4713483,13.313449,POINT (13.313449 52.4713483),,,,,,,"Mo,Th 12:00-16:00; Tu,Fr 14:00-18:00; SH Mo, Th 12:00-16:00; PH off",yes,yes,,,,wlan,,,,,,
